ID,Time_taken (min)
0x9092,22.0
0x3999,21.0
0x5dc8,34.0
0xaa48,36.0
0x46eb,20.0
0x449b,19.0
0xfb9,23.0
0x9daf,23.0
0x37ac,26.0
0x8da9,27.0
0xcefb,37.0
0x276d,25.0
0x2c95,27.0
0xd52f,40.0
0x5491,18.0
0x7ea8,19.0
0x82d5,15.0
0x844e,19.0
0xcd88,17.0
0x6ba4,26.0
0x607,26.0
0xc7ca,24.0
0x30ef,23.0
0xa7a,23.0
0xc94a,23.0
0x2096,48.0
0xa6a7,19.0
0x8a16,21.0
0xb180,36.0
0x4dfd,31.0
0x14a5,28.0
0x1697,14.0
0x975e,14.0
0xd160,28.0
0x9b7,22.0
0xa259,20.0
0xde8a,21.0
0x22bc,34.0
0x553d,28.0
0xc0ef,25.0
0xda1e,33.0
0x3df5,22.0
0x9daa,26.0
0x987c,36.0
0x3432,22.0
0xd278,18.0
0x720d,23.0
0xc14e,18.0
0xcc6e,27.0
0x36fb,29.0
0x9e71,27.0
0xcd47,37.0
0x5a29,19.0
0x57e6,19.0
0x8e3c,23.0
0xae28,27.0
0x85a0,23.0
0x87ff,22.0
0xc7fc,19.0
0x87f8,20.0
0x8d4e,21.0
0xc54,37.0
0x8098,25.0
0xb28b,21.0
0x2e2d,35.0
0xdba9,34.0
0x961b,21.0
0x567,29.0
0x4284,24.0
0x1fba,25.0
0x431b,21.0
0x1014,28.0
0x6528,18.0
0x3e8c,39.0
0x6e53,19.0
0x3cc6,16.0
0xac1e,15.0
0x3a48,40.0
0x3ca6,22.0
0xde2,27.0
0x9b4,18.0
0xd91e,12.0
0x28de,38.0
0xb721,43.0
0x66ad,24.0
0x7947,27.0
0xda09,25.0
0x6308,26.0
0xe0ca,28.0
0x9f54,26.0
0x89a5,22.0
0x200d,25.0
0x5b0a,18.0
0x57e8,23.0
0xe154,22.0
0x27d3,36.0
0xff5,36.0
0x86c1,22.0
0x2a0b,31.0
0xd6dc,25.0
0x5cfa,17.0
0x141a,22.0
0x3b3b,47.0
0x16eb,19.0
0xb205,20.0
0xd2e0,21.0
0x6c1e,28.0
0x870b,19.0
0x3e4f,27.0
0xc865,34.0
0x2d9b,21.0
0x9305,28.0
0x5299,29.0
0xa358,22.0
0x6659,23.0
0x1ea8,29.0
0x59ed,34.0
0xb59c,28.0
0x10a9,22.0
0xd95f,28.0
0x683f,18.0
0x4377,30.0
0x2e19,14.0
0xafbf,46.0
0x73d9,31.0
0xb9b7,41.0
0x54d1,20.0
0x52d0,22.0
0xc8fc,23.0
0xd57d,35.0
0x676d,21.0
0x297d,21.0
0x5ba8,30.0
0xba1f,21.0
0x83ed,22.0
0x3d25,21.0
0xc90c,17.0
0xbac0,32.0
0x719,22.0
0x2fd5,34.0
0xc0cf,28.0
0x4d32,22.0
0x47aa,30.0
0x569,17.0
0x52db,24.0
0x837d,36.0
0x7ccc,26.0
0xb3fc,31.0
0x5548,38.0
0xc45e,36.0
0x6414,25.0
0xacee,23.0
0x990,22.0
0xd76e,30.0
0x8925,19.0
0x450d,27.0
0xaf26,38.0
0xcaeb,21.0
0x9e23,42.0
0x1eec,24.0
0x3a4c,37.0
0x9770,39.0
0xc622,20.0
0x2318,26.0
0xc8c6,27.0
0xace4,30.0
0x475f,21.0
0x9b4b,21.0
0xeec,16.0
0x5c5e,17.0
0x42cc,24.0
0xd386,33.0
0xa92b,21.0
0x4311,36.0
0x6ce4,25.0
0xc248,24.0
0xd750,46.0
0x43f5,25.0
0x9ba8,36.0
0x51f4,17.0
0x5ed0,21.0
0x9360,23.0
0x9002,27.0
0x8254,31.0
0x12e8,33.0
0x80df,19.0
0x4cd4,22.0
0x9456,23.0
0xdbd,22.0
0xcec4,17.0
0xa93d,40.0
0x29fe,18.0
0x2931,24.0
0x4ab6,32.0
0xaf20,24.0
0x5740,21.0
0x6358,20.0
0x6b0e,18.0
0x303c,22.0
0x916d,25.0
0x7312,23.0
0xd297,26.0
0xe1ad,23.0
0x8a0f,27.0
0x4e32,23.0
0x6bc6,26.0
0x6469,21.0
0x8fa,29.0
0xf8e,23.0
0x1aaf,20.0
0x234b,17.0
0x864a,24.0
0x607c,51.0
0x720b,26.0
0x829e,23.0
0xab81,19.0
0xb4cc,26.0
0xa95a,25.0
0x7e75,18.0
0xb4cf,22.0
0x9d4,21.0
0xb135,25.0
0x30e6,28.0
0x4aaf,26.0
0x81a1,20.0
0x92e5,19.0
0x4818,21.0
0x7415,19.0
0x37f5,37.0
0x1c43,36.0
0x5843,38.0
0x65c2,21.0
0x6940,27.0
0xa873,23.0
0xc19f,38.0
0x9e93,40.0
0x5a50,22.0
0x3139,22.0
0x3354,36.0
0x8dd0,35.0
0x7f64,21.0
0xc4a6,26.0
0x5c9e,18.0
0x3264,20.0
0x75cc,18.0
0x1076,30.0
0x962,22.0
0x8065,17.0
0x9cdc,37.0
0xbd20,39.0
0xae58,22.0
0x8d9b,30.0
0x6cb9,27.0
0xae44,26.0
0x8bdf,28.0
0xa17,45.0
0xc494,38.0
0x77ff,31.0
0x9643,16.0
0x31a4,25.0
0x5974,17.0
0x2bf6,21.0
0xab76,15.0
0x631,26.0
0xde27,36.0
0x718e,25.0
0x79ec,20.0
0xf67,39.0
0xc59e,20.0
0x5588,39.0
0xc868,39.0
0xd835,21.0
0x12e2,29.0
0x67b2,35.0
0x25c1,34.0
0x646a,15.0
0xe09,19.0
0x6cf6,27.0
0xd1bc,18.0
0x3b1b,36.0
0xbeb6,42.0
0x50b7,18.0
0x8706,19.0
0x783c,29.0
0x74c7,23.0
0xbf35,22.0
0x7f73,23.0
0x146e,23.0
0x23e7,37.0
0x7d52,36.0
0xc4ab,23.0
0x2cd4,22.0
0x94a9,46.0
0x944f,24.0
0x9442,25.0
0x80f6,28.0
0x791b,22.0
0x20a7,23.0
0xb8e1,39.0
0x4fed,44.0
0xbaec,48.0
0x8f72,25.0
0x54df,18.0
0xa853,22.0
0x2d00,26.0
0x90f,21.0
0x826c,23.0
0xd7ca,25.0
0x97fe,26.0
0x44e9,20.0
0xbd30,36.0
0x1466,33.0
0x3012,29.0
0x5117,23.0
0x6a7c,27.0
0x80a1,29.0
0x5e5e,21.0
0xcdb0,24.0
0x7df7,36.0
0x1281,23.0
0x280d,20.0
0x4c09,26.0
0x3273,26.0
0x444b,21.0
0x75e6,31.0
0x27f1,25.0
0x4692,35.0
0x848c,40.0
0x202a,39.0
0x2698,27.0
0x7eda,26.0
0x72db,17.0
0x3021,34.0
0xe0d6,23.0
0xd0f1,29.0
0xc80c,28.0
0xb49d,16.0
0x8009,34.0
0x1899,25.0
0x5c35,22.0
0x3122,37.0
0x2f6e,36.0
0x505,22.0
0x460,37.0
0xd9f4,30.0
0xcf30,20.0
0x86c,29.0
0xde13,34.0
0xce8f,20.0
0x5575,18.0
0xc580,28.0
0x413f,19.0
0xd33a,29.0
0x8785,23.0
0x2a5d,20.0
0x54e0,14.0
0x5f0a,17.0
0x86fe,40.0
0x54b2,37.0
0x3423,30.0
0xbf9d,30.0
0x5c05,37.0
0xb599,39.0
0x37f1,15.0
0x9c84,46.0
0x2ab0,49.0
0xb722,34.0
0x4c16,43.0
0x960,27.0
0x8abc,46.0
0x1ed4,27.0
0x2fa8,18.0
0x5c45,23.0
0x7507,17.0
0x3c71,27.0
0x8f5d,35.0
0x82ae,29.0
0xdded,26.0
0xad7,44.0
0x71ee,41.0
0x1f8e,31.0
0xc5d0,42.0
0x8c88,24.0
0x24e3,26.0
0x24cc,19.0
0xafb0,25.0
0x585f,35.0
0x5438,23.0
0x90de,32.0
0x48a4,23.0
0xddc2,22.0
0xb2a0,18.0
0xcbe5,24.0
0x2c7c,19.0
0x6893,37.0
0xaf74,28.0
0xdd04,37.0
0x7d86,15.0
0x896d,31.0
0x1cbd,27.0
0xc99,20.0
0xd11a,27.0
0x147d,22.0
0xdf6b,32.0
0x27bc,26.0
0xbae7,29.0
0xa233,18.0
0xb030,29.0
0xc24b,26.0
0x1229,17.0
0x1330,27.0
0xb937,25.0
0xa567,26.0
0x3c80,37.0
0x57d6,24.0
0xcfa6,20.0
0x7815,27.0
0x295c,26.0
0x178a,24.0
0x6f0,27.0
0xe58,36.0
0x6ae4,16.0
0x9993,22.0
0xa315,22.0
0x3103,14.0
0xcbde,18.0
0x22bd,19.0
0x9c6a,26.0
0x49e3,30.0
